lat,lon,datetime
51.9116688,4.4812625,2019-08-29 07:44:24
51.9118816,4.4810881,2019-08-29 07:49:13
51.9118816,4.4810881,2019-08-29 07:49:33
51.9118828,4.4814061,2019-08-29 07:57:16
51.911847,4.4813662,2019-08-29 07:57:41
51.9118454,4.4811678,2019-08-29 08:00:06
51.9118429,4.4811088,2019-08-29 08:00:17
51.9118579,4.4813263,2019-08-29 08:00:52
51.9119104,4.4811666,2019-08-29 08:02:13
51.911779,4.4812981,2019-08-29 08:02:24
51.911988,4.4811415,2019-08-29 08:02:53
51.9118698,4.4812605,2019-08-29 08:05:02
51.9116758,4.4812864,2019-08-29 08:06:14
51.9117075,4.4811957,2019-08-29 08:06:25
51.9119027,4.4810786,2019-08-29 08:08:44
51.9119249,4.4811269,2019-08-29 08:10:29
51.9118727,4.4811539,2019-08-29 08:11:20
51.9118727,4.4811539,2019-08-29 08:12:20
51.9118727,4.4811539,2019-08-29 08:13:21
51.9118727,4.4811539,2019-08-29 08:15:29
51.9118727,4.4811539,2019-08-29 08:16:46
51.9118727,4.4811539,2019-08-29 08:17:29
51.9118727,4.4811539,2019-08-29 08:17:49
51.9118727,4.4811539,2019-08-29 08:20:10
51.9118727,4.4811539,2019-08-29 08:21:13
51.9118496,4.4814255,2019-08-29 08:21:49
51.9118727,4.4811539,2019-08-29 08:26:13
51.9117929,4.4811967,2019-08-29 08:28:07
51.9117929,4.4811967,2019-08-29 08:30:36
51.9117929,4.4811967,2019-08-29 08:32:00
51.9117863,4.4814485,2019-08-29 08:33:40
51.9117929,4.4811967,2019-08-29 08:34:14
51.9121563,4.481495,2019-08-29 08:36:00
51.9117929,4.4811967,2019-08-29 08:37:35
51.9117929,4.4811967,2019-08-29 08:39:50
51.9119586,4.4814538,2019-08-29 08:40:17
51.9119957,4.4813461,2019-08-29 08:41:19
51.9118205,4.4815152,2019-08-29 08:43:50
51.9118734,4.4815369,2019-08-29 08:43:59
51.9119215,4.4815429,2019-08-29 08:48:53
51.9119131,4.4815146,2019-08-29 08:54:02
51.9115723,4.4812997,2019-08-29 08:55:32
51.9118307,4.4812007,2019-08-29 08:55:53
51.9118574,4.481348,2019-08-29 08:56:36
51.9117755,4.4812417,2019-08-29 08:58:01
